Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Youri Baas,DF(FB),N/A,March 17, 2003,Netherlands,Ajax,0.00,0.00,0.15,0.00,3   ,0.00,0.29,78.4,88.8%,3.81,0.88,0.59,0.29,1.47,0.59,0.59,3.96,1.17
Josip Šutalo,DF(CB),Right,February 28, 2000,Croatia,Ajax,0.00,0.03,0.29,0.00,3   ,0.03,0.86,61.4,93.5%,3.14,0.86,0.29,0.29,1.43,1.86,1.00,5.43,1.86
Jorrel Hato,DF(FB),N/A,March 7, 2006,Netherlands,Ajax,0.00,0.02,0.32,0.00,1   ,0.03,0.48,51.9,87.2%,2.22,0.95,0.63,1.11,2.54,1.43,1.11,2.06,1.58
Kenneth Taylor,MF(CM-left),Left,May 16, 2002,Netherlands,Ajax,0.53,0.32,1.23,0.18,56  ,0.39,3.16,38.8,74.2%,3.16,1.58,2.46,3.69,1.93,0.88,0.88,1.41,0.53
Jordan Henderson,MF(CM-DM-WM-right),Right,June 17, 1990,England,Ajax,0.00,0.02,0.33,0.00,27  ,0.07,2.81,85.5,83.6%,8.09,1.32,0.17,0.50,2.15,1.49,0.66,2.15,0.99
Devyne Rensch,DF(FB-right),Right,January 18, 2003,Netherlands,Roma,0.00,0.04,0.57,0.00,53  ,0.14,1.57,43.8,84.4%,2.43,1.14,1.43,3.43,2.43,2.86,1.71,3.14,2.00
Bertrand Traoré,FW-MF(AM-WM-right),Left,September 6, 1995,Burkina,Ajax,0.36,0.27,3.46,0.18,65  ,0.37,3.02,34.0,77.3%,4.79,3.55,4.97,11.0,1.95,0.89,0.80,0.80,0.80
Brian Brobbey,FW,Right,February 1, 2002,Netherlands,Ajax,0.20,0.56,2.60,0.60,99  ,0.98,4.20,17.6,75.0%,1.80,1.80,5.80,5.00,0.40,0.00,1.40,0.80,2.40
Mika Godts,FW-MF,N/A,June 7, 2005,Belgium,Ajax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anton Gaaei,DF(FB-right),N/A,November 19, 2002,Denmark,Ajax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wout Weghorst,FW,Right,August 7, 1992,Netherlands,Ajax,0.23,0.27,1.58,0.34,50  ,0.38,3.62,24.0,68.4%,2.72,0.57,4.53,6.91,0.79,0.57,1.25,0.91,2.38
Kian Fitz-Jim,MF(CM),N/A,July 5, 2003,Netherlands,Ajax,0.58,0.33,2.70,0.00,90  ,0.52,3.85,43.5,84.1%,4.43,3.47,2.70,4.43,2.51,1.54,2.12,1.54,0.39
Daniele Rugani,DF(CB),Right,July 29, 1994,Italy,Ajax,0.11,0.07,0.68,0.00,74  ,0.10,0.68,58.4,91.1%,3.30,0.23,1.02,0.11,1.82,0.80,1.14,2.73,2.62
Ahmetcan Kaplan,DF,N/A,January 16, 2003,Turkey,Ajax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dies Janse,DF,N/A,January 17, 2006,Netherlands,Ajax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sivert Mannsverk,MF(CM),Right,May 8, 2002,Norway,Cardiff City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jorthy Mokio,DF,N/A,February 29, 2008,Belgium,Ajax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
